                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.96914,                0.52707,                0.95458,                 0.9703,                0.83333,                0.89408,                0.66583,                 1.0226,                0.50625,                0.85791,             0.00035028,             0.00035028,             0.00035028
                     64,                0.90673,                0.48208,                0.92126,                0.98175,                0.83333,                0.89192,                0.62804,                 1.1157,                0.53167,                0.86913,              0.0003326,              0.0003326,              0.0003326
                     65,                0.90316,                0.46777,                0.93646,                0.98099,                0.83333,                0.89207,                0.62795,                 1.0864,                 0.5139,                0.86222,             0.00031492,             0.00031492,             0.00031492
                     66,                0.92473,                0.49481,                0.93856,                0.97584,                0.83333,                0.90917,                 0.6396,                 0.9872,                0.46742,                0.85303,             0.00029723,             0.00029723,             0.00029723
                     67,                0.86035,                0.46355,                0.91255,                0.96325,                0.83333,                 0.9149,                0.67425,                0.93826,                0.45536,                0.84584,             0.00027955,             0.00027955,             0.00027955
                     68,                0.83528,                0.44067,                0.90006,                0.97544,                0.83333,                0.89068,                0.69072,                 1.0191,                0.48946,                0.85094,             0.00026186,             0.00026186,             0.00026186
                     69,                0.87633,                 0.4554,                0.92291,                0.97298,                0.83333,                0.89139,                0.69235,                 1.0596,                 0.4961,                0.85993,             0.00024418,             0.00024418,             0.00024418
                     70,                0.88868,                0.45651,                0.91511,                0.96984,                0.82749,                0.89258,                0.68408,                0.99377,                0.49397,                0.85852,              0.0002265,              0.0002265,              0.0002265
                     71,                0.81999,                0.42773,                0.92529,                0.97157,                0.82426,                 0.8929,                0.63753,                 1.0189,                0.49516,                 0.8458,             0.00020881,             0.00020881,             0.00020881
                     72,                 0.8479,                0.42478,                0.89242,                0.97203,                0.83333,                0.89439,                0.67522,                 1.0114,                0.47593,                0.83937,             0.00019113,             0.00019113,             0.00019113
                     73,                0.85448,                0.43561,                0.93609,                0.97656,                0.83333,                0.89338,                 0.6852,                0.99618,                0.48228,                0.84287,             0.00017344,             0.00017344,             0.00017344
                     74,                0.84973,                0.42213,                 0.9275,                0.97905,                0.83333,                0.89456,                0.68307,                 1.0836,                0.50375,                0.85622,             0.00015576,             0.00015576,             0.00015576
                     75,                 0.8243,                0.41983,                0.91875,                0.97945,                0.83333,                 0.8984,                0.69201,                 1.1036,                0.51894,                0.86496,             0.00013808,             0.00013808,             0.00013808
                     76,                0.82952,                0.42538,                0.92974,                0.97889,                0.83333,                0.89819,                0.69857,                0.99562,                0.48213,                0.85162,             0.00012039,             0.00012039,             0.00012039
                     77,                0.90287,                0.45884,                0.90984,                 0.9773,                0.83333,                0.91898,                0.70517,                0.96751,                0.46952,                0.85161,             0.00010271,             0.00010271,             0.00010271
                     78,                0.75819,                0.40239,                 0.8908,                0.97241,                0.83333,                0.92382,                0.71908,                0.94303,                0.46304,                0.86065,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     79,                0.77062,                0.40347,                0.88958,                0.97035,                0.83333,                0.91941,                0.70327,                0.94317,                0.46469,                0.86551,             6.7342e-05,             6.7342e-05,             6.7342e-05
                     80,                0.80282,                0.41089,                 0.9021,                0.97081,                0.83333,                0.91992,                0.69455,                0.96826,                0.47205,                0.86618,             4.9658e-05,             4.9658e-05,             4.9658e-05
